股票代號,股票名稱,年度,除息日,每單位配發金額(元),收益分配基準日,發放月份_x,分類標籤,發放月份_y,收盤價
712,復華富時不動產,2024,2024/3/19,0.18,2024/3/25,3,季配息,"3, 6, 9, 12",16.68
713,元大台灣高息低波,2024,2024/12/17,1.4,2024/12/23,12,季配息,"3, 6, 9, 12",16.68
713,元大台灣高息低波,2024,2024/9/18,1.5,2024/9/24,9,季配息,"3, 6, 9, 12",16.68
713,元大台灣高息低波,2024,2024/6/19,1.5,2024/6/25,6,季配息,"3, 6, 9, 12",10.24
713,元大台灣高息低波,2024,2024/3/18,0.88,2024/3/24,3,季配息,"3, 6, 9, 12",10.24
714,群益道瓊美國地產,2024,2025/1/22,0.123,2025/1/28,1,季配息,"1, 4, 7, 10",10.24
714,群益道瓊美國地產,2024,2024/10/22,0.123,2024/10/28,10,季配息,"1, 4, 7, 10",10.24
714,群益道瓊美國地產,2024,2024/7/19,0.123,2024/7/27,7,季配息,"1, 4, 7, 10",54.95
714,群益道瓊美國地產,2024,2024/4/18,0.123,2024/4/24,4,季配息,"1, 4, 7, 10",54.95
717,富邦美國特別股,2024,2025/1/17,0.157,2025/1/25,1,季配息,"1, 4, 7, 10",54.95
717,富邦美國特別股,2024,2024/10/17,0.167,2024/10/23,10,季配息,"1, 4, 7, 10",54.95
717,富邦美國特別股,2024,2024/7/16,0.173,2024/7/22,7,季配息,"1, 4, 7, 10",21.91
717,富邦美國特別股,2024,2024/4/18,0.166,2024/4/24,4,季配息,"1, 4, 7, 10",21.91
00718B,富邦中國政策債,2024,2024/8/16,0.371,2024/8/24,8,半年配,"2, 8",21.91
00718B,富邦中國政策債,2024,2024/2/27,0.308,2024/3/5,2,半年配,"2, 8",21.91
00719B,元大美債1-3,2024,2025/1/17,0.35,2025/1/25,1,季配息,"1, 4, 7, 10",16.19
00719B,元大美債1-3,2024,2024/10/17,0.35,2024/10/23,10,季配息,"1, 4, 7, 10",16.19
00719B,元大美債1-3,2024,2024/7/16,0.39,2024/7/22,7,季配息,"1, 4, 7, 10",16.19
00719B,元大美債1-3,2024,2024/4/18,0.37,2024/4/24,4,季配息,"1, 4, 7, 10",16.19
00720B,元大投資級公司債,2024,2025/1/17,0.5,2025/1/25,1,季配息,"1, 4, 7, 10",20.65
